Pot ID,Latitude,Longitude
F46,56.314011,161.992479
F47,56.280806,161.993813
F48,56.247598,161.995145
F49,56.21439,161.996474
F50,56.18118,161.997801
F51,56.147969,161.999126
F52,56.114756,162.000448
F53,56.081542,162.001768
F54,56.048327,162.003085
F55,56.01511,162.0044
F56,55.981891,162.005713
F57,55.948672,162.007024
F58,55.915451,162.008332
F59,55.882228,162.009637
F60,55.849004,162.010941
G1,57.800352,161.461435
G2,57.767204,161.463325
G3,57.734056,161.46521
G4,57.700906,161.467092
G5,57.667756,161.468971
G6,57.634605,161.470846
G7,57.601452,161.472717
G8,57.568299,161.474586
G9,57.535144,161.47645
G10,57.501989,161.478311
G11,57.468832,161.480169
G12,57.435675,161.482023
G13,57.402516,161.483874
G14,57.369356,161.485721
G15,57.336195,161.487565
G16,57.303033,161.489405
G17,57.26987,161.491242
G18,57.236706,161.493076
G19,57.203541,161.494906
G20,57.170374,161.496733
G21,57.137206,161.498556
G22,57.104038,161.500377
G23,57.070868,161.502193
G24,57.037697,161.504007
G25,57.004524,161.505817
G26,56.971351,161.507624
G27,56.938176,161.509427
G28,56.905,161.511227
G29,56.871823,161.513024
G30,56.838645,161.514818
G31,56.805466,161.516608
G32,56.772285,161.518395
G33,56.739103,161.520179
G34,56.70592,161.521959
G35,56.672735,161.523736
G36,56.639549,161.52551
G37,56.606362,161.527281
G38,56.573174,161.529049
G39,56.539984,161.530813
G40,56.506793,161.532574
G41,56.473601,161.534332
G42,56.440407,161.536087
G43,56.407213,161.537838
G44,56.374016,161.539587
G45,56.340819,161.541332
G46,56.30762,161.543074
G47,56.27442,161.544813
G48,56.241218,161.546549
G49,56.208015,161.548282
G50,56.17481,161.550011
G51,56.141605,161.551738
G52,56.108397,161.553461
G53,56.075189,161.555182
G54,56.041979,161.556899
G55,56.008767,161.558613
G56,55.975554,161.560324
H1,57.825086,160.990892
H2,57.791947,160.993225
H3,57.758807,160.995553
H4,57.725666,160.997877
H5,57.692524,161.000197
H6,57.659382,161.002512
H7,57.626238,161.004823
H8,57.593093,161.00713
H9,57.559947,161.009432
H10,57.5268,161.01173
H11,57.493652,161.014024
H12,57.460503,161.016314
H13,57.427353,161.018599
H14,57.394202,161.02088
H15,57.361049,161.023157
H16,57.327896,161.025429
H17,57.294741,161.027698
H18,57.261586,161.029962
H19,57.228429,161.032222
H20,57.195271,161.034478
H21,57.162112,161.036729
H22,57.128952,161.038977
H23,57.09579,161.04122
H24,57.062627,161.043459
H25,57.029464,161.045694
H26,56.996299,161.047925
H27,56.963132,161.050152
H28,56.929965,161.052375
H29,56.896796,161.054593
H30,56.863627,161.056808
H31,56.830456,161.059019
H32,56.797283,161.061225
H33,56.76411,161.063428
H34,56.730935,161.065626
H35,56.697759,161.067821
H36,56.664581,161.070011
H37,56.631403,161.072198
H38,56.598223,161.07438
H39,56.565041,161.076559
H40,56.531859,161.078733
H41,56.498675,161.080904
H42,56.46549,161.083071
H43,56.432303,161.085234
H44,56.399115,161.087392
H45,56.365926,161.089547
H46,56.332736,161.091699
H47,56.299544,161.093846
H48,56.26635,161.095989
H49,56.233155,161.098129
H50,56.199959,161.100264
H51,56.166762,161.102396
H52,56.133563,161.104524
H53,56.100363,161.106648
H54,56.067161,161.108769
I1,57.814919,160.522489
I2,57.78179,160.525261
I3,57.748659,160.528028
I4,57.715528,160.53079
I5,57.682395,160.533546
I6,57.649262,160.536298
I7,57.616127,160.539044
I8,57.582991,160.541785
I9,57.549855,160.544521
I10,57.516717,160.547252
I11,57.483578,160.549978
I12,57.450438,160.552698
I13,57.417297,160.555414
I14,57.384155,160.558125
I15,57.351011,160.56083
I16,57.317867,160.563531
I17,57.284721,160.566226
I18,57.251574,160.568917
I19,57.218427,160.571603
I20,57.185277,160.574283
I21,57.152127,160.576959
I22,57.118976,160.57963
I23,57.085823,160.582296
I24,57.052669,160.584957
I25,57.019514,160.587613
I26,56.986358,160.590264
I27,56.953201,160.59291
I28,56.920042,160.595552
I29,56.886882,160.598188
I30,56.853721,160.60082
I31,56.820559,160.603447
I32,56.787395,160.606069
I33,56.75423,160.608687
I34,56.721064,160.611299
I35,56.687897,160.613907
I36,56.654728,160.61651
I37,56.621558,160.619109
I38,56.588386,160.621702
I39,56.555214,160.624291
I40,56.52204,160.626876
I41,56.488864,160.629455
I42,56.455688,160.63203
I43,56.42251,160.6346
I44,56.38933,160.637166
I45,56.356149,160.639727
I46,56.322967,160.642283
I47,56.289784,160.644835
I48,56.256599,160.647382
I49,56.223412,160.649925
I50,56.190225,160.652463
I51,56.157035,160.654996
I52,56.123845,160.657525
I53,56.090653,160.660049
I54,56.057459,160.662569
J1,57.803001,160.054379
J2,57.769883,160.05759
J3,57.736763,160.060794
J4,57.703642,160.063993
J5,57.670521,160.067185
J6,57.637398,160.070372
J7,57.604274,160.073553
J8,57.571149,160.076727
J9,57.538023,160.079896
J10,57.504896,160.083059
J11,57.471767,160.086216
J12,57.438638,160.089367
J13,57.405507,160.092513
J14,57.372376,160.095652
J15,57.339243,160.098786
J16,57.306109,160.101914
J17,57.272974,160.105036
J18,57.239838,160.108152
J19,57.2067,160.111263
J20,57.173562,160.114367
J21,57.140422,160.117466
J22,57.107281,160.12056
J23,57.074139,160.123647
J24,57.040995,160.126729
J25,57.00785,160.129806
J26,56.974705,160.132876
J27,56.941557,160.135941
J28,56.908409,160.139001
J29,56.875259,160.142055
