Pot_ID,Latitude,Lat_N,Lat_DM,Lat_DD,Longitude,Lon_W,Lon_DM,Lon_DD
B45,56° 21.35574' N,56,21.3557,56.3559,163° 47.47992' W,163,47.4799,-163.7913
B46,56° 19.36302' N,56,19.363,56.3227,163° 47.46264' W,163,47.4626,-163.791
B47,56° 17.37024' N,56,17.3702,56.2895,163° 47.44536' W,163,47.4454,-163.7908
B48,56° 15.37734' N,56,15.3773,56.2563,163° 47.42808' W,163,47.4281,-163.7905
B49,56° 13.38438' N,56,13.3844,56.2231,163° 47.41092' W,163,47.4109,-163.7902
B50,56° 11.39136' N,56,11.3914,56.1899,163° 47.3937' W,163,47.3937,-163.7899
B51,56° 9.39822' N,56,9.3982,56.1566,163° 47.3766' W,163,47.3766,-163.7896
B52,56° 7.40502' N,56,7.405,56.1234,163° 47.35944' W,163,47.3594,-163.7893
B53,56° 5.41176' N,56,5.4118,56.0902,163° 47.3424' W,163,47.3424,-163.789
B54,56° 3.41838' N,56,3.4184,56.057,163° 47.3253' W,163,47.3253,-163.7888
B55,56° 1.42488' N,56,1.4249,56.0237,163° 47.30832' W,163,47.3083,-163.7885
B56,55° 59.43138' N,55,59.4314,55.9905,163° 47.29128' W,163,47.2913,-163.7882
B57,55° 57.43776' N,55,57.4378,55.9573,163° 47.27436' W,163,47.2744,-163.7879
B58,55° 55.44402' N,55,55.444,55.9241,163° 47.25744' W,163,47.2574,-163.7876
B59,55° 53.45022' N,55,53.4502,55.8908,163° 47.24052' W,163,47.2405,-163.7873
B60,55° 51.45636' N,55,51.4564,55.8576,163° 47.22366' W,163,47.2237,-163.7871
B61,55° 49.46238' N,55,49.4624,55.8244,163° 47.2068' W,163,47.2068,-163.7868
B62,55° 47.46834' N,55,47.4683,55.7911,163° 47.19' W,163,47.19,-163.7865
B63,55° 45.47418' N,55,45.4742,55.7579,163° 47.1732' W,163,47.1732,-163.7862
B64,55° 43.47996' N,55,43.48,55.7247,163° 47.15646' W,163,47.1565,-163.7859
B65,55° 41.48562' N,55,41.4856,55.6914,163° 47.13972' W,163,47.1397,-163.7857
B66,55° 39.49122' N,55,39.4912,55.6582,163° 47.12304' W,163,47.123,-163.7854
B67,55° 37.4967' N,55,37.4967,55.6249,163° 47.10636' W,163,47.1064,-163.7851
B68,55° 35.50212' N,55,35.5021,55.5917,163° 47.08974' W,163,47.0897,-163.7848
B69,55° 33.50748' N,55,33.5075,55.5585,163° 47.07312' W,163,47.0731,-163.7846
B70,55° 31.51266' N,55,31.5127,55.5252,163° 47.05656' W,163,47.0566,-163.7843
B71,55° 29.51784' N,55,29.5178,55.492,163° 47.04' W,163,47.04,-163.784
B72,55° 27.52284' N,55,27.5228,55.4587,163° 47.0235' W,163,47.0235,-163.7837
B73,55° 25.52784' N,55,25.5278,55.4255,163° 47.007' W,163,47.007,-163.7835
B74,55° 23.53266' N,55,23.5327,55.3922,163° 46.99056' W,163,46.9906,-163.7832
B75,55° 21.53742' N,55,21.5374,55.359,163° 46.97412' W,163,46.9741,-163.7829
B76,55° 19.54212' N,55,19.5421,55.3257,163° 46.95774' W,163,46.9577,-163.7826
B77,55° 17.5467' N,55,17.5467,55.2924,163° 46.94136' W,163,46.9414,-163.7824
B78,55° 15.55116' N,55,15.5512,55.2592,163° 46.92504' W,163,46.925,-163.7821
B79,55° 13.55556' N,55,13.5556,55.2259,163° 46.90872' W,163,46.9087,-163.7818
B80,55° 11.55984' N,55,11.5598,55.1927,163° 46.8924' W,163,46.8924,-163.7815
B81,55° 9.56406' N,55,9.5641,55.1594,163° 46.87614' W,163,46.8761,-163.7813
B82,55° 7.56816' N,55,7.5682,55.1261,163° 46.85994' W,163,46.8599,-163.781
B83,55° 5.57214' N,55,5.5721,55.0929,163° 46.84374' W,163,46.8437,-163.7807
C1,57° 48.98586' N,57,48.9859,57.8164,163° 20.14872' W,163,20.1487,-163.3358
C2,57° 46.99614' N,57,46.9961,57.7833,163° 20.1564' W,163,20.1564,-163.3359
C3,57° 45.00636' N,57,45.0064,57.7501,163° 20.16402' W,163,20.164,-163.3361
C4,57° 43.01652' N,57,43.0165,57.7169,163° 20.1717' W,163,20.1717,-163.3362
C5,57° 41.02662' N,57,41.0266,57.6838,163° 20.17932' W,163,20.1793,-163.3363
